189,髒,zāng ,dirty,verb,A2,,,17/07/21 19:56,17/07/21 19:57
190,馬上,mǎshàng ,at once,adverb,A2,,,17/07/21 19:56,17/07/21 19:57
191,香,xiāng ,fragrant,verb,A2,,,17/07/21 19:56,17/07/21 19:57
192,餐,cān ,meal,noun,A2,,,17/07/21 19:56,17/07/21 19:57
193,餅乾,bǐnggān ,biscuit,noun,A2,,,17/07/21 19:56,17/07/21 19:57
194,飽,bǎo ,to eat till full,verb,A2,,,17/07/21 19:56,17/07/21 19:57
195,顧客,gùkè ,client,noun,A2,,,17/07/21 19:56,17/07/21 19:57
196,願意,yuànyì ,to wish,verb,A2,,,17/07/21 19:56,17/07/21 19:57
197,青菜,qīngcài ,green vegetables,noun,A2,,,17/07/21 19:56,17/07/21 19:57
198,需要,xūyào ,to need,verb or noun,A2,,,17/07/21 19:56,17/07/21 19:57
199,雲,yún ,cloud,noun,A2,,,17/07/21 19:56,17/07/21 19:57
200,雪,xuě ,snow,noun,A2,,,17/07/21 19:56,17/07/21 19:57
201,雨衣,yŭyī ,raincoat,noun,A2,,,17/07/21 19:56,17/07/21 19:57
202,雨,yǔ ,rain,noun,A2,,,17/07/21 19:56,17/07/21 19:57
203,難過,nánguò ,to feel sad,verb,A2,,,17/07/21 19:56,17/07/21 19:57
204,離開,líkāi ,to depart,verb or adjective,A2,,,17/07/21 19:56,17/07/21 19:57
205,雜誌,zázhì ,magazine,noun,A2,,,17/07/21 19:56,17/07/21 19:57
206,雖然,suīrán ,although,conjonction,A2,,,17/07/21 19:56,17/07/21 19:57
207,隻,zhī ,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",measure word,A2,,,17/07/21 19:56,17/07/21 19:57
208,關心,guānxīn ,to be concerned about,verb or noun,A2,,,17/07/21 19:56,17/07/21 19:57
209,關係,guānxì ,relation,noun,A2,,,17/07/21 19:56,17/07/21 19:57
210,間,jiān ,between,measure word,A2,,,17/07/21 19:56,17/07/21 19:57
211,開水,kāishuǐ ,boiled water,noun,A2,,,17/07/21 19:56,17/07/21 19:57
212,開會,kāihuì ,to hold a meeting,verb,A2,,,17/07/21 19:56,17/07/21 19:57
213,開心,kāixīn ,to feel happy,verb,A2,,,17/07/21 19:56,17/07/21 19:57
214,開學,kāixué ,foundation of a University or College,verb or adjective,A2,,,17/07/21 19:56,17/07/21 19:57
215,門口,ménkǒu ,doorway,noun,A2,,,17/07/21 19:56,17/07/21 19:57
216,鑰匙,yàoshi ,key,noun,A2,,,17/07/21 19:56,17/07/21 19:57
